SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,clv,tenure_monthly_interaction,premium_services_count,tenure_monthly_ratio,tenure_per_premium_service,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,clv_tier_Medium,clv_tier_High
0,1,29.85,29.85,0,-70.15,29.85,1,0.033500836398631946,0.9999990000010001,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,34,56.95,1889.5,0,1836.3000000000002,1936.3000000000002,2,0.5970149148899927,16.99999150000425,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
0,2,53.85,108.15,1,7.700000000000003,107.7,2,0.03714020358142612,0.99999950000025,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,45,42.3,1840.75,0,1803.4999999999998,1903.4999999999998,3,1.0638297620844028,14.999995000001666,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,2,70.7,151.65,1,41.400000000000006,141.4,0,0.028288542739907458,2000000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,8,99.65,820.5,1,697.2,797.2,1,0.08028098263641763,7.9999920000080005,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False
0,22,89.1,1949.4,0,1860.1999999999998,1960.1999999999998,1,0.24691357747571746,21.999978000022,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
0,10,29.75,301.9,0,197.5,297.5,1,0.3361344424828759,9.999990000010001,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,28,104.8,3046.05,1,2834.4,2934.4,2,0.26717556996969877,13.9999930000035,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True
0,62,56.15,3487.95,0,3381.2999999999997,3481.2999999999997,2,1.104185198500709,30.99998450000775,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,13,49.95,587.45,0,549.35,649.35,1,0.26026025504984474,12.999987000013,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,16,18.95,326.8,0,203.2,303.2,0,0.8443271322254812,16000000.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
0,58,100.35,5681.1,0,5720.299999999999,5820.299999999999,1,0.5779770744596207,57.999942000058006,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
0,49,103.7,5036.3,1,4981.3,5081.3,2,0.47251687104612466,24.499987750006124,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
0,25,105.5,2686.05,0,2537.5,2637.5,3,0.23696682239841876,8.333330555556481,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False
0,69,113.25,7895.15,0,7714.25,7814.25,4,0.609271517798927,17.249995687501077,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,52,20.65,1022.95,0,973.8,1073.8,0,2.518159684350621,52000000.0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False
0,71,106.7,7382.25,0,7475.7,7575.7,2,0.6654170509332985,35.49998225000887,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
0,10,55.2,528.35,1,452.0,552.0,2,0.18115941700798158,4.99999750000125,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,21,90.05,1862.9,0,1791.05,1891.05,2,0.2332037730904634,10.499994750002624,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False
1,1,39.65,39.65,1,-60.35,39.65,1,0.025220680322303148,0.9999990000010001,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
0,12,19.8,202.25,0,137.60000000000002,237.60000000000002,0,0.6060605754514861,12000000.0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,1,20.15,20.15,1,-79.85,20.15,0,0.04962778910035786,1000000.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
0,58,59.9,3505.1,0,3374.2,3474.2,2,0.9682804512807939,28.99998550000725,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True
0,49,59.6,2970.3,0,2820.4,2920.4,3,0.822147637212288,16.333327888890704,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,30,55.3,1530.6,0,1559.0,1659.0,2,0.5424954693942954,14.99999250000375,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,47,99.35,4749.15,1,4569.45,4669.45,1,0.4730749826565176,46.999953000047,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True
0,1,30.2,30.2,1,-69.8,30.2,1,0.03311258168501385,0.9999990000010001,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,72,90.25,6369.45,0,6398.0,6498.0,4,0.7977839246782945,17.999995500001123,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,True
0,17,64.7,1093.1,1,999.9000000000001,1099.9,0,0.26275115513522174,17000000.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False
1,71,96.35,6766.95,0,6740.849999999999,6840.849999999999,4,0.7368967230213107,17.74999556250111,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True
1,2,95.5,181.65,0,91.0,191.0,1,0.02094240815767112,1.9999980000020001,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0,27,66.15,1874.45,0,1686.0500000000002,1786.0500000000002,4,0.40816325913585394,6.749998312500422,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
0,1,20.2,20.2,0,-79.8,20.2,0,0.0495049480443095,1000000.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
1,1,45.25,45.25,0,-54.75,45.25,0,0.022099447025426586,1000000.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,72,99.9,7251.7,0,7092.8,7192.8,3,0.7207207135062992,23.999992000002667,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
0,5,69.7,316.9,1,248.5,348.5,0,0.07173601044855078,5000000.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
